Jaunciema 3.līnija;15B
Jaunciema 3.līnija;1A
Jaunciema 2.līnija;3A
Jaunciema 2.līnija;2B
Jaunciema 2.līnija;8B
Jaunciema gatve;182A
Jaunciema gatve;182B
Jaunciema 2.līnija;8C
Jaunciema gatve;182C
Jaunciema 4.šķērslīnija;6B
Jaunciema 2.līnija;14
Jaunciema 4.šķērslīnija;8A
Jaunciema gatve;147C
Jaunciema 5.šķērslīnija;2H
Gaileņu iela;5A
Steķu iela;14
Steķu iela;16
Jaunciema 2.līnija;3
Jaunciema 3.šķērslīnija;4A
Jaunciema 5.šķērslīnija;2E
Jaunciema 2.līnija;6
Gaileņu iela;2
Gaileņu iela;6
Gaileņu iela;8
Gaileņu iela;1
Gaileņu iela;3
Gaileņu iela;5
Gaileņu iela;7
Gaileņu iela;9
Jaunciema 2.līnija;1
Jaunciema 2.līnija;5
Jaunciema 2.līnija;7
Jaunciema 2.līnija;8
Jaunciema 2.līnija;4
Jaunciema 2.līnija;2
Jaunciema 5.šķērslīnija;1
Jaunciema 5.šķērslīnija;3
Jaunciema 4.šķērslīnija;6
Jaunciema 4.šķērslīnija;4
Jaunciema 4.šķērslīnija;5
Jaunciema 3.šķērslīnija;2
Jaunciema 3.šķērslīnija;4
Jaunciema 3.šķērslīnija;1
Jaunciema 3.šķērslīnija;3
Jaunciema 3.šķērslīnija;5
Jaunciema 3.šķērslīnija;9
Jaunciema 3.šķērslīnija;7
Jaunciema 2.šķērslīnija;9
Jaunciema 2.šķērslīnija;6
Jaunciema 2.šķērslīnija;8
Jaunciema 2.šķērslīnija;7
Jaunciema 2.šķērslīnija;5
Jaunciema 2.šķērslīnija;2
Jaunciema gatve;161B
Jaunciema gatve;161A
Jaunciema gatve;180A
Jaunciema gatve;167A
Jaunciema gatve;147A
Jaunciema 2.šķērslīnija;3A
Jaunciema 3.līnija;19A
Jaunciema 2.līnija;8A
Jaunciema 2.līnija;7A
Jaunciema 2.līnija;5A
Jaunciema 2.līnija;2A
Jaunciema 2.līnija;1A
Gaileņu iela;3A
Gaileņu iela;14A
Jaunciema gatve;184
Jaunciema 3.šķērslīnija;9A
Jaunciema 3.šķērslīnija;5A
Jaunciema gatve;156
Steķu iela;12
Steķu iela;10
Gaileņu iela;10
Gaileņu iela;14
Gaileņu iela;20
Gaileņu iela;22
Jaunciema 2.līnija;10
Jaunciema 4.šķērslīnija;10
Jaunciema gatve;167
Jaunciema gatve;165
Jaunciema gatve;163
Jaunciema gatve;161
Jaunciema gatve;159
Jaunciema gatve;157
Jaunciema gatve;149
Jaunciema gatve;151
Jaunciema gatve;153
Jaunciema gatve;155
Jaunciema gatve;143
